round,winner,results,year,gender,player1,player2,firstServe1,firstServe2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,break1,break2,return1,return2,net1,net2
Final,Rafael Nadal,7-5 3-6 7-6(3) 3-6 6-2,2009,m,Rafael Nadal,Roger Federer,64%,52%,66%,73%,48%,45%,44%,32%,40%,41%,58%,72%
semi,Rafael Nadal,6-7(4) 6-4 7-6(2) 6-7(1) 6-4,2009,m,Rafael Nadal,Fernando Verdasco,74%,69%,72%,71%,62%,55%,20%,50%,34%,31%,70%,65%
semi,Roger Federer,6-2 7-5 7-5,2009,m,Roger Federer,Andy Roddick,66%,65%,83%,70%,58%,52%,31%,0%,36%,26%,63%,50%
quarter,Rafael Nadal,6-2 7-5 7-5,2009,m,Rafael Nadal,Gilles Simon,67%,55%,73%,71%,58%,38%,58%,43%,44%,32%,87%,66%
quarter,Fernando Verdasco,7-6(2) 3-6 6-3 6-2,2009,m,Fernando Verdasco,Jo-Wilfried Tsonga,78%,65%,69%,72%,59%,49%,100%,15%,36%,33%,70%,61%
quarter,Roger Federer,6-3 6-0 6-0,2009,m,Roger Federer,Juan Martin Del Potro,70%,59%,86%,46%,75%,33%,64%,36.0%,59%,17%,84%,45%
quarter,Andy Roddick,6-7(3) 6-4 6-2 2-1 ret.,2009,m,Andy Roddick,Novak Djokovic,71%,62%,87%,63%,44%,48%,42%,100%,43%,25%,54%,50%
Fourth,Rafael Nadal,6-3 6-2 6-4,2009,m,Rafael Nadal,Fernando Gonzalez,67%,69%,78%,59%,63%,36%,46%,29%,48%,27%,71%,44%
Fourth,Jo-Wilfried Tsonga,6-4 6-4 7-6(3),2009,m,Jo-Wilfried Tsonga,James Blake,64%,53%,84%,67%,46%,59%,50%,25%,37%,30%,61%,76%
Fourth,Gilles Simon,6-4 2-6 6-1 ret.,2009,m,Gilles Simon,Gael Monfils,64%,57%,71%,59%,36%,41%,50%,44%,49%,42%,66%,59%
Fourth,Fernando Verdasco,2-6 6-1 1-6 6-3 6-4,2009,m,Fernando Verdasco,Andy Murray,74%,61%,69%,62%,34%,56%,29%,38%,40%,40%,64%,68%
Fourth,Juan Martin Del Potro,5-7 6-4 6-4 6-2,2009,m,Juan Martin Del Potro,Marin Cilic,67%,50%,70%,70%,53%,53%,60%,30%,39%,36%,77%,81%
Fourth,Andy Roddick,7-5 6-1 6-3,2009,m,Andy Roddick,Tommy Robredo,63%,68%,84%,63%,59%,50%,71%,0%,41%,26%,69%,77%
Fourth,Roger Federer,4-6 6-7(4) 6-4 6-4 6-2,2009,m,Roger Federer,Tomas Berdych,67%,61%,71%,71%,46%,46%,67%,42%,39%,37%,69%,50%
Fourth,Novak Djokovic,6-1 7-6(1) 6-7(5) 6-2,2009,m,Novak Djokovic,Marcos Baghdatis,63%,54%,74%,64%,56%,46%,29%,20%,44%,33%,76%,67%
Third,James Blake,6-3 6-2 3-6 6-1,2009,m,James Blake,Igor Andreev,61%,58%,77%,71%,65%,38%,50%,20%,43%,27%,68%,57%
Third,Fernando Gonzalez,3-6 3-6 7-6(10) 6-2 12-10,2009,m,Fernando Gonzalez,Richard Gasquet,69%,64%,72%,81%,48%,41%,43%,43%,34%,35%,67%,77%
Third,Gael Monfils,6-4 6-3 7-5,2009,m,Gael Monfils,Nicolas Almagro,66%,68%,76%,63%,47%,52%,50%,20%,41%,34%,46%,62%
Third,Fernando Verdasco,6-4 6-0 6-0,2009,m,Fernando Verdasco,Radek Stepanek,81%,56%,71%,44%,46%,30%,45%,20%,62%,33%,79%,44%
Third,Jo-Wilfried Tsonga,6-4 6-2 1-6 6-1,2009,m,Jo-Wilfried Tsonga,Dudi Sela,62%,55%,70%,63%,55%,48%,38%,27%,44%,36%,72%,60%
Third,Andy Murray,7-5 6-0 6-3,2009,m,Andy Murray,Jurgen Melzer,60%,70%,78%,58%,52%,25%,50%,25%,52%,33%,58%,58%
Third,Rafael Nadal,6-4 6-2 6-2,2009,m,Rafael Nadal,Tommy Haas,69%,62%,81%,57%,79%,41%,33%,100%,49%,19%,87%,57%
Third,Gilles Simon,7-6(2) 6-4 6-2,2009,m,Gilles Simon,Mario Ancic,59%,53%,70%,71%,54%,44%,50%,17%,42%,36%,69%,68%
Third,Tommy Robredo,6-1 6-3 6-2,2009,m,Tommy Robredo,Yen-Hsun Lu,75%,63%,74%,58%,56%,31%,64%,25%,52%,31%,88%,57%
Third,Andy Roddick,6-3 6-4 6-2,2009,m,Andy Roddick,Fabrice Santoro,73%,57%,85%,69%,65%,47%,36%,0%,41%,21%,70%,50%
Third,Marin Cilic,7-6(5) 6-3 6-4,2009,m,Marin Cilic,David Ferrer,59%,70%,68%,59%,59%,70%,40%,50%,38%,36%,74%,85%
Third,Marcos Baghdatis,6-2 6-4 6-4,2009,m,Marcos Baghdatis,Mardy Fish,54%,54%,80%,60%,47%,47%,43%,67%,46%,35%,78%,47%
Third,Tomas Berdych,4-6 6-1 6-3 6-4,2009,m,Tomas Berdych,Stanislas Wawrinka,63%,51%,77%,66%,44%,48%,25%,14%,43%,35%,74%,62%
Third,Novak Djokovic,6-2 4-6 6-3 7-6(4),2009,m,Novak Djokovic,Amer Delic,65%,59%,79%,77%,52%,44%,38%,11%,37%,31%,65%,68%
Third,Roger Federer,6-3 6-2 7-6(5),2009,m,Roger Federer,Marat Safin,60%,51%,85%,63%,64%,59%,75%,37.0%,39%,24%,46%,43%
Third,Juan Martin Del Potro,6-7(5) 7-5 6-3 7-5,2009,m,Juan Martin Del Potro,Gilles Muller,73%,64%,83%,70%,62%,43%,17%,33%,40%,23%,80%,70%
Second,Radek Stepanek,6-3 6-2 6-7(3) 7-5,2009,m,Radek Stepanek,Michael Berrer,67%,66%,78%,65%,43%,47%,50%,33%,41%,34%,64.0%,60.0%
Second,Richard Gasquet,6-3 6-4 6-4,2009,m,Richard Gasquet,Denis Istomin,53%,60%,78%,67%,63%,34%,31%,33%,46%,29%,70%,67%
Second,Nicolas Almagro,6-2 7-5 6-0,2009,m,Nicolas Almagro,Fabio Fognini,55%,52%,80%,61%,50%,29%,80%,67%,55%,33%,67.0%,63.0%
Second,Andy Murray,6-4 6-2 6-2,2009,m,Andy Murray,Marcel Granollers,57%,52%,73%,56%,65%,47%,38%,50%,48%,30%,83%,46%
Second,James Blake,6-3 6-2 6-3,2009,m,James Blake,Sebastien de Chaunac,63%,48%,84%,63%,53%,45%,28%,0%,47%,27%,68%,71%
Second,Jurgen Melzer,5-7 7-6(7) 6-4 6-3,2009,m,Jurgen Melzer,Andreas Beck,55%,55%,71%,60%,52%,57%,50%,29%,41%,38%,65.0%,55.0%
Second,Mario Ancic,5-7 7-5 4-6 6-4 6-3,2009,m,Mario Ancic,Ivo Karlovic,64%,65%,79%,78%,68%,46%,50%,50%,33%,25%,73%,49%
Second,Igor Andreev,6-4 6-4 5-7 3-6 6-4,2009,m,Igor Andreev,Ernests Gulbis,59%,64%,73%,68%,54%,49%,24%,25%,39%,35%,59%,63%
Second,Fernando Verdasco,6-1 6-1 6-2,2009,m,Fernando Verdasco,Arnaud Clement,84%,63%,83%,44%,78%,45%,54%,0%,56%,18%,75%,57%
Second,Dudi Sela,6-3 6-3 6-2,2009,m,Dudi Sela,Victor Hanescu,67%,71%,78%,66%,48%,32%,42%,0%,44%,32%,68.0%,58.0%
Second,Tommy Haas,6-1 6-2 6-1,2009,m,Tommy Haas,Flavio Cipolla,51%,76%,74%,56%,67%,13%,40%,50%,55%,30%,66%,56%
Second,Gilles Simon,6-7(5) 6-4 6-1 6-2,2009,m,Gilles Simon,Chris Guccione,54%,63%,84%,65%,61%,58%,45%,0%,38%,26%,80%,45%
Second,Jo-Wilfried Tsonga,6-7(4) 7-6(8) 7-6(7) 6-2,2009,m,Jo-Wilfried Tsonga,Ivan Ljubicic,66%,61%,82%,76%,61%,61%,27%,100%,29%,25%,72%,74%
Second,Fernando Gonzalez,7-5 6-3 6-4,2009,m,Fernando Gonzalez,Guillermo Canas,67%,53%,83%,65%,55%,53%,20%,100%,41%,26%,68%,56%
Second,Rafael Nadal,6-2 6-3 6-2,2009,m,Rafael Nadal,Roko Karanusic,68%,66%,75%,69%,60%,27%,86%,0%,45%,30%,73%,65%
Second,Gael Monfils,6-4 6-4 3-6 6-2,2009,m,Gael Monfils,Stefan Koubek,61%,54%,73%,68%,63%,63%,56%,33%,35%,30%,61%,65%
Second,Marat Safin,7-5 6-2 6-2,2009,m,Marat Safin,Guillermo Garcia-Lopez,52%,66%,85%,63%,68%,48%,42%,0%,42%,23%,64%,60%
Second,Mardy Fish,6-4 6-1 7-5,2009,m,Mardy Fish,Simone Bolelli,52%,63%,84%,66%,50%,37%,50%,33%,45%,33%,66.0%,61.0%
Second,Tomas Berdych,6-1 6-1 6-3,2009,m,Tomas Berdych,Brian Dabul,63%,70%,73%,58%,78%,25%,33%,0%,52%,25%,58%,54%
Second,Stanislas Wawrinka,6-3 6-4 6-4,2009,m,Stanislas Wawrinka,Brydan Klein,60%,67%,78%,70%,75%,45%,30%,0%,38%,23%,77%,63%
Second,Marcos Baghdatis,3-6 7-5 6-3 6-3,2009,m,Marcos Baghdatis,Robin Soderling,48%,51%,66%,69%,58%,38%,53%,42%,46%,38%,83%,63%
Second,David Ferrer,6-2 6-2 6-1,2009,m,David Ferrer,Dominik Hrbaty,64%,55%,95%,55%,62%,33%,100%,0%,55%,17%,100%,40%
Second,Novak Djokovic,7-5 6-1 6-3,2009,m,Novak Djokovic,Jeremy Chardy,71%,61%,75%,61%,68%,45%,100%,50%,45%,27%,75%,37%
Second,Tommy Robredo,6-1 6-3 6-0,2009,m,Tommy Robredo,Viktor Troicki,80%,57%,78%,58%,91%,24%,44%,38.0%,57%,20%,73.0%,62.0%
Second,Andy Roddick,4-6 6-2 7-6(1) 6-2,2009,m,Andy Roddick,Xavier Malisse,71%,61%,83%,67%,55%,48%,38%,67%,41%,25%,58%,71%
Second,Fabrice Santoro,5-7 7-5 3-6 7-5 6-3,2009,m,Fabrice Santoro,Philipp Kohlschreiber,55%,68%,67%,59%,51%,56%,28%,37%,42%,40%,76%,74%
Second,Roger Federer,6-2 6-3 6-1,2009,m,Roger Federer,Evgeny Korolev,60%,51%,71%,54%,70%,44%,58%,100%,51%,29%,67%,52%
Second,Amer Delic,1-6 3-6 6-3 7-6(3) 9-7,2009,m,Amer Delic,Paul-Henri Mathieu,59%,67%,69%,73%,64%,63%,27%,50%,30%,33%,69.0%,61.0%
Second,Yen-Hsun Lu,6-4 5-7 4-6 6-4 6-2,2009,m,Yen-Hsun Lu,David Nalbandian,63%,50%,71%,66%,53%,51%,57%,35%,41%,36%,69%,74%
Second,Gilles Muller,3-6 6-1 6-4 6-2,2009,m,Gilles Muller,Bernard Tomic,67%,56%,83%,65%,53%,47%,29%,17%,43%,27%,48%,64%
Second,Marin Cilic,6-2 6-3 4-6 6-3,2009,m,Marin Cilic,Janko Tipsarevic,59%,55%,78%,60%,46%,50%,39%,33%,44%,35%,63%,68%
Second,Juan Martin Del Potro,6-1 7-5 6-2,2009,m,Juan Martin Del Potro,Florian Mayer,66%,62%,67%,53%,68%,48%,64%,20%,49%,33%,67%,51%
First,James Blake,6-4 6-3 7-5,2009,m,James Blake,Frank Dancevic,66%,55%,80%,69%,45%,38%,40%,25%,45%,32%,78%,48%
First,Roko Karanusic,6-3 1-6 6-3 3-6 6-3,2009,m,Roko Karanusic,Florent Serra,63%,68%,72%,64%,44%,53%,60%,43%,40%,38%,72.0%,54.0%
First,Fernando Gonzalez,5-7 6-2 6-2 3-6 6-3,2009,m,Fernando Gonzalez,Lleyton Hewitt,57%,53%,80%,63%,51%,52%,50%,36%,42%,33%,76%,80%
First,Andy Murray,6-2 3-1 ret.,2009,m,Andy Murray,Andrei Pavel,65%,56%,100%,59%,45%,29%,75%,0%,54%,19%,100%,55%
First,Radek Stepanek,3-6 6-3 6-4 6-4,2009,m,Radek Stepanek,Nicolas Lapentti,67%,58%,70%,64%,67%,58%,31%,67%,38%,31%,65.0%,63.0%
First,Victor Hanescu,3-6 3-6 7-6(7) 7-6(4) 8-6,2009,m,Victor Hanescu,Jan Hernych,72%,72%,62%,65%,53%,44%,33%,56%,41%,41%,74.0%,65.0%
First,Stefan Koubek,6-3 6-2 6-2,2009,m,Stefan Koubek,Mikhail Youzhny,54%,63%,79%,42%,50%,53%,44%,33%,54%,33%,70.0%,60.0%
First,Ernests Gulbis,6-3 6-2 6-3,2009,m,Ernests Gulbis,Albert Montanes,64%,54%,83%,70%,59%,55%,83%,0%,37%,26%,68.0%,60.0%
First,Mario Ancic,7-5 6-4 4-6 6-2,2009,m,Mario Ancic,Wayne Odesnik,69%,66%,78%,64%,56%,55%,45%,100%,39%,28%,70.0%,61.0%
First,Fernando Verdasco,6-0 6-2 6-2,2009,m,Fernando Verdasco,Adrian Mannarino,72%,44%,80%,56%,53%,31%,58%,0%,58%,28%,67%,40%
First,Arnaud Clement,6-3 2-6 4-6 6-2 6-1,2009,m,Arnaud Clement,Sergiy Stakhovsky,42%,62%,71%,61%,47%,47%,47%,43%,44%,43%,64.0%,62.0%
First,Michael Berrer,6-2 6-4 6-3,2009,m,Michael Berrer,Carsten Ball,53%,58%,79%,57%,53%,35%,31%,38%,53%,34%,69%,43%
First,Andreas Beck,7-5 6-1 6-0,2009,m,Andreas Beck,Colin Ebelthite,69%,57%,70%,58%,67%,28%,53%,40%,55%,31%,nan%,nan%
First,Tommy Haas,6-3 6-3 6-4,2009,m,Tommy Haas,Eduardo Schwank,48%,61%,86%,61%,50%,44%,46%,29%,46%,33%,78%,72%
First,Denis Istomin,6-2 7-5 6-4,2009,m,Denis Istomin,Vince Spadea,59%,65%,79%,55%,50%,39%,54%,75%,51%,33%,73.0%,59.0%
First,Gael Monfils,6-1 6-3 7-5,2009,m,Gael Monfils,Martin Vassallo Arguello,51%,66%,83%,54%,42%,40%,38%,33%,51%,37%,70%,52%
First,Igor Andreev,5-7 3-6 6-4 6-3 6-4,2009,m,Igor Andreev,Peter Polansky,59%,61%,83%,62%,46%,55%,50%,50%,41%,32%,52.0%,65.0%
First,Sebastien de Chaunac,2-6 6-3 0-6 6-2 6-2,2009,m,Sebastien de Chaunac,Steve Darcis,50%,46%,75%,62%,47%,53%,86%,75%,43%,39%,78.0%,58.0%
First,Ivan Ljubicic,4-6 7-6(3) 7-6(7) 5-7 6-3,2009,m,Ivan Ljubicic,Igor Kunitsyn,68%,77%,71%,66%,46%,37%,47%,80%,41%,37%,66.0%,61.0%
First,Fabio Fognini,3-6 7-6(7) 6-4 6-2,2009,m,Fabio Fognini,Andrey Golubev,56%,56%,79%,65%,53%,61%,33%,25%,37%,32%,75.0%,58.0%
Final,Roger Federer,6-3 6-4 7-6(11),2010,m,Roger Federer,Andy Murray,66%,57%,72%,69%,61%,51%,33%,25%,37%,32%,72%,61%
semi,Roger Federer,6-2 6-3 6-2,2010,m,Roger Federer,Jo-Wilfried Tsonga,64%,56%,84%,69%,68%,39%,50%,35.0%,41%,22%,73%,52%
semi,Andy Murray,3-6 6-4 6-4 6-2,2010,m,Andy Murray,Marin Cilic,63%,56%,76%,70%,57%,44%,31%,33%,39%,31%,69%,63%
quarter,Roger Federer,2-6 6-3 6-0 7-5,2010,m,Roger Federer,Nikolay Davydenko,60%,62%,67%,59%,49%,39%,57%,26%,47%,39%,68%,58%
quarter,Jo-Wilfried Tsonga,7-6(8) 6-7(5) 1-6 6-3 6-1,2010,m,Jo-Wilfried Tsonga,Novak Djokovic,64%,69%,68%,67%,48%,49%,67%,38%,36%,39%,59%,70%
quarter,Marin Cilic,7-6(4) 6-3 3-6 2-6 6-3,2010,m,Marin Cilic,Andy Roddick,50%,63%,75%,69%,46%,52%,38%,38%,37%,38%,73%,54%
quarter,Andy Murray,6-3 7-6(2) 3-0 ret.,2010,m,Andy Murray,Rafael Nadal,59%,67%,77%,63%,45%,42%,40%,17%,44%,36%,79%,87%
Fourth,Roger Federer,6-2 6-3 6-4,2010,m,Roger Federer,Lleyton Hewitt,63%,60%,76%,62%,66%,45%,33%,20%,44%,28%,54%,52%
Fourth,Nikolay Davydenko,6-2 7-5 4-6 6-7(5) 6-3,2010,m,Nikolay Davydenko,Fernando Verdasco,62%,57%,68%,73%,57%,45%,58%,33%,35%,35%,68%,67%
Fourth,Novak Djokovic,6-1 6-2 7-5,2010,m,Novak Djokovic,Lukasz Kubot,69%,62%,80%,68%,70%,31%,67%,50%,44%,23%,58%,49%
Fourth,Jo-Wilfried Tsonga,6-3 6-4 4-6 6-7(6) 9-7,2010,m,Jo-Wilfried Tsonga,Nicolas Almagro,58%,77%,85%,75%,63%,53%,27%,25%,30%,24%,79%,75%
Fourth,Andy Roddick,6-3 3-6 4-6 7-5 6-2,2010,m,Andy Roddick,Fernando Gonzalez,68%,61%,87%,75%,50%,44%,22%,50%,35%,25%,57%,71%
Fourth,Marin Cilic,5-7 6-4 7-5 5-7 6-3,2010,m,Marin Cilic,Juan Martin Del Potro,57%,60%,82%,72%,50%,54%,25%,30%,34%,31%,61%,62%
Fourth,Andy Murray,7-6(4) 6-3 6-2,2010,m,Andy Murray,John Isner,71%,69%,83%,70%,65%,29%,50%,0%,42%,22%,89%,49%
Fourth,Rafael Nadal,6-4 4-6 6-4 6-4,2010,m,Rafael Nadal,Ivo Karlovic,71%,68%,78%,78%,73%,62%,50%,50%,27%,23%,61%,64%
Third,Roger Federer,6-3 6-4 6-4,2010,m,Roger Federer,Albert Montanes,66%,60%,88%,60%,56%,64%,50%,39.0%,38%,22%,73%,70%
Third,Lleyton Hewitt,6-0 4-2 ret.,2010,m,Lleyton Hewitt,Marcos Baghdatis,55%,47%,76%,65%,79%,16%,50%,38.0%,58%,23%,100%,20%
Third,Fernando Verdasco,6-1 ret.,2010,m,Fernando Verdasco,Stefan Koubek,63%,53%,90%,44%,50%,13%,100%,26.0%,63%,22%,100%,100%
Third,Nikolay Davydenko,6-0 6-3 6-4,2010,m,Nikolay Davydenko,Juan Monaco,71%,67%,72%,47%,59%,52%,60%,50%,51%,31%,63%,50%
Third,Novak Djokovic,6-1 6-1 6-2,2010,m,Novak Djokovic,Denis Istomin,59%,55%,73%,39%,45%,26%,64%,22%,67%,35%,71%,38%
Third,Jo-Wilfried Tsonga,6-4 3-6 6-1 7-5,2010,m,Jo-Wilfried Tsonga,Tommy Haas,67%,69%,78%,66%,56%,56%,45%,50%,36%,29%,57%,67%
Third,Nicolas Almagro,6-4 6-3 6-4,2010,m,Nicolas Almagro,Alejandro Falla,56%,50%,88%,63%,51%,51%,40%,25%,42%,27%,86%,57%
Third,Andy Roddick,6-7(4) 6-4 6-4 7-6(3),2010,m,Andy Roddick,Feliciano Lopez,74%,58%,80%,74%,67%,51%,18%,20%,35%,23%,54%,63%
Third,Fernando Gonzalez,6-7(5) 6-3 1-6 6-3 6-4,2010,m,Fernando Gonzalez,Evgeny Korolev,57%,59%,80%,78%,51%,53%,36%,33%,31%,32%,90%,64%
Third,Marin Cilic,4-6 6-4 6-3 6-3,2010,m,Marin Cilic,Stanislas Wawrinka,57%,53%,83%,75%,49%,45%,50%,29%,37%,31%,65%,50%
Third,Juan Martin Del Potro,6-3 0-6 6-4 7-5,2010,m,Juan Martin Del Potro,Florian Mayer,59%,67%,71%,64%,45%,54%,36%,50%,38%,38%,66%,69%
Third,Andy Murray,7-5 6-1 6-4,2010,m,Andy Murray,Florent Serra,55%,66%,81%,51%,56%,48%,44%,100%,49%,29%,87%,48%
Third,John Isner,6-1 4-6 7-6(4) 7-6(5),2010,m,John Isner,Gael Monfils,66%,60%,80%,71%,53%,52%,80%,43%,35%,28%,66%,86%
Third,Ivo Karlovic,6-3 3-6 6-3 7-6(7),2010,m,Ivo Karlovic,Ivan Ljubicic,71%,61%,85%,76%,52%,51%,20%,14%,34%,24%,62%,64%
Third,Rafael Nadal,6-4 6-2 2-6 7-5,2010,m,Rafael Nadal,Philipp Kohlschreiber,62%,61%,69%,68%,51%,48%,42%,20%,39%,37%,71%,58%
Second,Roger Federer,6-2 6-3 6-2,2010,m,Roger Federer,Victor Hanescu,67%,70%,82%,56%,63%,46%,45%,0%,47%,24%,81%,62%
Second,Albert Montanes,4-6 6-7(3) 6-2 6-3 6-2,2010,m,Albert Montanes,Stephane Robert,68%,59%,69%,59%,46%,47%,47%,40%,44%,37%,48%,64%
Second,Lleyton Hewitt,7-6(3) 6-4 6-1,2010,m,Lleyton Hewitt,Donald Young,58%,63%,68%,65%,63%,30%,50%,33%,46%,34%,73%,65%
Second,Marcos Baghdatis,4-6 3-6 7-6(4) 6-3 6-1,2010,m,Marcos Baghdatis,David Ferrer,53%,66%,76%,62%,54%,53%,35%,44%,41%,34%,76%,68%
Second,Fernando Verdasco,6-1 6-2 6-2,2010,m,Fernando Verdasco,Ivan Sergeyev,70%,40%,72%,53%,46%,34%,44%,20%,54%,33%,72%,62%
Second,Stefan Koubek,7-6(4) 6-1 6-2,2010,m,Stefan Koubek,Ivan Dodig,65%,54%,81%,61%,55%,50%,50%,25%,42%,26%,69.0%,61.0%
Second,Juan Monaco,3-6 3-6 7-6(5) 6-1 6-3,2010,m,Juan Monaco,Michael Llodra,68%,57%,63%,63%,57%,45%,44%,47%,42%,39%,53%,52%
Second,Nikolay Davydenko,6-3 6-3 6-0,2010,m,Nikolay Davydenko,Illya Marchenko,75%,53%,79%,62%,47%,30%,64%,14%,52%,29%,57%,50%
Second,Novak Djokovic,3-6 6-1 6-1 6-3,2010,m,Novak Djokovic,Marco Chiudinelli,63%,56%,75%,58%,33%,42%,44%,18%,48%,38%,73%,58%
Second,Denis Istomin,7-5 6-3 6-4,2010,m,Denis Istomin,Michael Berrer,67%,65%,75%,56%,55%,57%,60%,100%,43%,31%,68.0%,62.0%
Second,Mikhail Youzhny,6-2 6-1 6-1,2010,m,Mikhail Youzhny,Jan Hajek,60%,70%,92%,47%,50%,33%,64%,23.0%,53%,25%,92%,50%
Second,Lukasz Kubot,6-4 3-6 6-3 6-1,2010,m,Lukasz Kubot,Santiago Giraldo,66%,70%,75%,60%,49%,38%,41%,27%,46%,33%,70.0%,58.0%
Second,Jo-Wilfried Tsonga,6-4 6-3 6-3,2010,m,Jo-Wilfried Tsonga,Taylor Dent,58%,47%,86%,70%,61%,47%,45%,100%,39%,25%,60%,52%
Second,Tommy Haas,4-6 6-4 6-3 1-6 6-3,2010,m,Tommy Haas,Janko Tipsarevic,56%,54%,72%,69%,44%,52%,75%,35%,38%,39%,74%,61%
Second,Nicolas Almagro,6-4 6-2 3-6 4-6 6-3,2010,m,Nicolas Almagro,Benjamin Becker,59%,53%,78%,77%,67%,55%,57%,100%,32%,26%,45%,79%
Second,Alejandro Falla,6-4 6-1 6-3,2010,m,Alejandro Falla,Marcel Granollers,61%,69%,74%,55%,43%,27%,44%,60%,52%,36%,72.0%,60.0%
Second,Andy Roddick,6-3 6-4 6-4,2010,m,Andy Roddick,Thomaz Bellucci,80%,61%,78%,65%,75%,47%,33%,20%,40%,23%,57%,61%
Second,Feliciano Lopez,6-3 2-6 6-3 6-2,2010,m,Feliciano Lopez,Rainer Schuettler,48%,64%,70%,68%,59%,44%,50%,22%,39%,35%,63%,48%
Second,Evgeny Korolev,6-4 6-4 7-5,2010,m,Evgeny Korolev,Tomas Berdych,59%,51%,75%,60%,41%,43%,58%,50%,46%,37%,73.0%,59.0%
Second,Fernando Gonzalez,6-3 6-4 7-5,2010,m,Fernando Gonzalez,Marsel Ilhan,59%,77%,86%,59%,51%,59%,44%,33%,41%,26%,67%,59%
Second,Marin Cilic,6-7(6) 6-3 4-6 6-2 6-4,2010,m,Marin Cilic,Bernard Tomic,46%,66%,78%,63%,57%,45%,50%,38%,41%,33%,64%,64%
Second,Stanislas Wawrinka,6-3 6-2 6-2,2010,m,Stanislas Wawrinka,Igor Kunitsyn,53%,72%,88%,58%,41%,47%,71%,0%,44%,33%,67%,85%
Second,Florian Mayer,4-6 6-4 7-6(2) 6-1,2010,m,Florian Mayer,Viktor Troicki,66%,61%,72%,76%,62%,43%,45%,33%,34%,31%,71.0%,62.0%
Second,Juan Martin Del Potro,6-4 6-7(3) 5-7 6-3 10-8,2010,m,Juan Martin Del Potro,James Blake,58%,62%,79%,69%,43%,48%,32%,50%,38%,35%,72%,65%
Second,Andy Murray,6-1 6-4 6-3,2010,m,Andy Murray,Marc Gicquel,56%,59%,72%,59%,57%,39%,50%,14%,47%,34%,78%,67%
Second,Florent Serra,3-6 6-4 5-7 7-6(4) 7-5,2010,m,Florent Serra,Jarkko Nieminen,58%,76%,63%,64%,56%,54%,35%,29%,38%,38%,58%,64%
Second,John Isner,6-3 7-6(4) 7-5,2010,m,John Isner,Louk Sorensen,74%,61%,74%,91%,68%,50%,40%,0%,24%,27%,81%,0%
Second,Gael Monfils,6-4 6-4 6-4,2010,m,Gael Monfils,Antonio Veic,63%,63%,73%,60%,45%,45%,86%,60%,45%,35%,71%,56%
Second,Ivo Karlovic,2-6 6-1 6-3 6-3,2010,m,Ivo Karlovic,Julien Benneteau,58%,60%,83%,63%,49%,51%,63%,20%,40%,30%,66.0%,60.0%
Second,Ivan Ljubicic,6-3 3-6 6-2 6-3,2010,m,Ivan Ljubicic,Andrey Golubev,61%,54%,79%,66%,58%,53%,36%,17%,37%,28%,70.0%,58.0%
Second,Philipp Kohlschreiber,6-4 3-6 6-3 6-2,2010,m,Philipp Kohlschreiber,Wayne Odesnik,63%,48%,78%,64%,43%,53%,33%,14%,38%,34%,73.0%,56.0%
Second,Rafael Nadal,6-2 6-2 6-2,2010,m,Rafael Nadal,Lukas Lacko,55%,40%,71%,59%,69%,35%,70%,100%,52%,29%,80%,56%
First,Roger Federer,4-6 6-2 7-6(2) 6-0,2010,m,Roger Federer,Igor Andreev,58%,63%,75%,56%,51%,37%,47%,45%,48%,34%,74%,59%
First,Victor Hanescu,6-4 6-3 7-6(2),2010,m,Victor Hanescu,Juan Ignacio Chela,71%,54%,69%,63%,56%,38%,38%,43%,47%,34%,70.0%,61.0%
First,Stephane Robert,6-3 7-6(2) 7-6(4),2010,m,Stephane Robert,Potito Starace,63%,61%,73%,66%,58%,51%,50%,18%,39%,32%,67%,60%
First,Albert Montanes,7-6(5) 2-2 ret.,2010,m,Albert Montanes,Oscar Hernandez,60%,54%,79%,61%,63%,53%,13%,100%,42%,27%,62.0%,69.0%
First,Lleyton Hewitt,6-1 6-2 6-3,2010,m,Lleyton Hewitt,Ricardo Hocevar,60%,70%,89%,61%,64%,36%,50%,0%,44%,20%,70%,59%
First,Donald Young,1-6 7-5 6-2 6-4,2010,m,Donald Young,Christophe Rochus,54%,63%,71%,66%,48%,40%,67%,33%,41%,38%,68.0%,65.0%
First,Marcos Baghdatis,6-2 6-4 6-4,2010,m,Marcos Baghdatis,Paolo Lorenzi,52%,66%,84%,58%,68%,43%,50%,25%,44%,24%,62%,53%
First,David Ferrer,6-0 6-0 2-0 ret.,2010,m,David Ferrer,Frederico Gil,58%,70%,81%,31%,73%,21%,78%,41.0%,70%,22%,50%,29%
First,Fernando Verdasco,6-7(4) 7-6(1) 7-5 6-2,2010,m,Fernando Verdasco,Carsten Ball,73%,50%,79%,64%,45%,58%,27%,23%,37%,29%,74%,65%
First,Ivan Sergeyev,6-3 7-6(3) 4-6 7-6(8),2010,m,Ivan Sergeyev,Dudi Sela,58%,63%,72%,66%,51%,52%,33%,36%,39%,36%,62.0%,60.0%
First,Stefan Koubek,4-6 6-3 5-7 6-1 6-3,2010,m,Stefan Koubek,Rajeev Ram,61%,57%,69%,71%,64%,48%,36%,29%,37%,32%,75.0%,64.0%
First,Ivan Dodig,2-6 1-6 6-4 6-1 6-1,2010,m,Ivan Dodig,Juan Carlos Ferrero,60%,65%,67%,68%,46%,42%,50%,38%,40%,40%,72.0%,63.0%
